epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1965.77,1.33798,1.55732,1.46117,0.66105,0.56888,0.61013,0.41057,1.26406,1.19182,1.40183,0.0005941,0.0005941,0.0005941
84,1989.17,1.34862,1.55379,1.46949,0.65661,0.61471,0.61554,0.40743,1.28019,1.19806,1.41315,0.00058915,0.00058915,0.00058915
85,2012.6,1.34274,1.56396,1.46799,0.70106,0.56861,0.62207,0.40448,1.28265,1.18259,1.41004,0.0005842,0.0005842,0.0005842
86,2035.94,1.34142,1.56421,1.46527,0.69182,0.59278,0.61986,0.41403,1.27118,1.16608,1.40462,0.00057925,0.00057925,0.00057925
87,2059.02,1.3365,1.54789,1.46749,0.71598,0.54075,0.60203,0.40102,1.29306,1.20314,1.40216,0.0005743,0.0005743,0.0005743
88,2082.7,1.33029,1.54128,1.45972,0.63184,0.61554,0.60035,0.4171,1.26823,1.15612,1.39709,0.00056935,0.00056935,0.00056935
89,2106.03,1.33202,1.53393,1.45342,0.58673,0.62961,0.60943,0.4095,1.27212,1.20391,1.40317,0.0005644,0.0005644,0.0005644
90,2129.33,1.32603,1.54264,1.45896,0.67417,0.60023,0.62662,0.42227,1.26503,1.15502,1.38114,0.00055945,0.00055945,0.00055945
91,2153.02,1.31858,1.52598,1.44602,0.60953,0.6489,0.61237,0.41505,1.31417,1.18961,1.4216,0.0005545,0.0005545,0.0005545
92,2176.33,1.3177,1.53066,1.44917,0.63687,0.64114,0.61687,0.40194,1.25995,1.14135,1.38281,0.00054955,0.00054955,0.00054955
93,2199.61,1.3095,1.52585,1.45259,0.68143,0.64245,0.61703,0.40429,1.31011,1.1753,1.41483,0.0005446,0.0005446,0.0005446
94,2222.95,1.31424,1.50556,1.43819,0.68306,0.59397,0.60645,0.40265,1.28607,1.20341,1.40501,0.00053965,0.00053965,0.00053965
95,2246.29,1.29739,1.49311,1.43239,0.68002,0.6206,0.62963,0.4229,1.26751,1.15447,1.38691,0.0005347,0.0005347,0.0005347
96,2269.62,1.32479,1.51377,1.45518,0.70656,0.60464,0.62741,0.41805,1.24878,1.14574,1.37415,0.00052975,0.00052975,0.00052975
97,2293.11,1.30421,1.48768,1.42888,0.65319,0.57916,0.61026,0.41142,1.25863,1.2011,1.38571,0.0005248,0.0005248,0.0005248
98,2316.4,1.31016,1.49913,1.43472,0.68971,0.61001,0.61431,0.4088,1.25904,1.18177,1.38038,0.00051985,0.00051985,0.00051985
99,2340.1,1.30651,1.50587,1.44497,0.60661,0.62916,0.61091,0.41583,1.26372,1.16292,1.38091,0.0005149,0.0005149,0.0005149
100,2363.48,1.31919,1.50838,1.44224,0.61901,0.64619,0.61797,0.41619,1.25386,1.16947,1.37994,0.00050995,0.00050995,0.00050995
101,2387.34,1.2985,1.48206,1.42735,0.66851,0.60149,0.62689,0.40307,1.26995,1.16829,1.38296,0.000505,0.000505,0.000505
102,2410.86,1.29661,1.47647,1.43094,0.69011,0.65551,0.61907,0.40294,1.29743,1.16308,1.40525,0.00050005,0.00050005,0.00050005
103,2434.65,1.2935,1.4743,1.41805,0.6487,0.62809,0.59047,0.4078,1.26858,1.20233,1.38791,0.0004951,0.0004951,0.0004951
104,2458.05,1.27185,1.46588,1.42249,0.66958,0.61342,0.62236,0.41483,1.27072,1.17753,1.39707,0.00049015,0.00049015,0.00049015
105,2481.25,1.2778,1.46616,1.42178,0.61883,0.67255,0.63024,0.4178,1.30694,1.16518,1.40645,0.0004852,0.0004852,0.0004852
106,2505.13,1.28529,1.45919,1.42474,0.62206,0.64908,0.60656,0.39916,1.288,1.19138,1.39298,0.00048025,0.00048025,0.00048025
107,2529.93,1.28729,1.45526,1.41583,0.71578,0.64147,0.63626,0.42413,1.25376,1.12562,1.38026,0.0004753,0.0004753,0.0004753
108,2557.63,1.27206,1.43836,1.41122,0.68934,0.61826,0.62814,0.42466,1.24468,1.14354,1.38598,0.00047035,0.00047035,0.00047035
109,2585.57,1.27433,1.44434,1.41144,0.69797,0.60289,0.63256,0.4203,1.28634,1.17045,1.39578,0.0004654,0.0004654,0.0004654
110,2611.8,1.27489,1.43156,1.41172,0.70368,0.61141,0.62986,0.41866,1.25855,1.15201,1.37212,0.00046045,0.00046045,0.00046045
111,2636.38,1.26889,1.43643,1.41421,0.63996,0.63689,0.62588,0.41462,1.30147,1.20848,1.39408,0.0004555,0.0004555,0.0004555
112,2660.17,1.27015,1.43782,1.41108,0.69042,0.62094,0.62554,0.40944,1.29419,1.17128,1.41023,0.00045055,0.00045055,0.00045055
113,2684.38,1.24601,1.41432,1.39897,0.70887,0.6124,0.63425,0.42678,1.30045,1.17449,1.41318,0.0004456,0.0004456,0.0004456
114,2708.25,1.25769,1.41574,1.39302,0.64826,0.63433,0.61736,0.4062,1.27481,1.1792,1.38504,0.00044065,0.00044065,0.00044065
115,2732.1,1.26566,1.42528,1.39937,0.72859,0.60306,0.63556,0.41172,1.27758,1.1704,1.39004,0.0004357,0.0004357,0.0004357
116,2755.97,1.2496,1.40484,1.39204,0.64445,0.63456,0.61748,0.42308,1.26509,1.1412,1.3876,0.00043075,0.00043075,0.00043075
117,2782.48,1.24983,1.41052,1.40247,0.64281,0.64883,0.62529,0.40523,1.27171,1.16276,1.38402,0.0004258,0.0004258,0.0004258
118,2806.72,1.24494,1.39307,1.38905,0.64187,0.63592,0.62443,0.42161,1.2341,1.12715,1.36359,0.00042085,0.00042085,0.00042085
119,2831.04,1.24833,1.39823,1.39498,0.6593,0.64945,0.62792,0.42554,1.23712,1.11306,1.35823,0.0004159,0.0004159,0.0004159
120,2856,1.24386,1.39247,1.39056,0.6998,0.63658,0.63341,0.41809,1.26232,1.13997,1.38358,0.00041095,0.00041095,0.00041095
121,2880.72,1.2419,1.39551,1.3891,0.70061,0.60922,0.63632,0.40821,1.26051,1.14215,1.37727,0.000406,0.000406,0.000406
122,2905.16,1.24079,1.39118,1.38692,0.68385,0.65621,0.63627,0.41852,1.23155,1.14639,1.3723,0.00040105,0.00040105,0.00040105
123,2929.56,1.24149,1.38718,1.38762,0.64328,0.64246,0.6407,0.41784,1.26554,1.1683,1.37974,0.0003961,0.0003961,0.0003961
124,2954.1,1.23272,1.37669,1.38252,0.67841,0.64455,0.64978,0.43138,1.23525,1.13579,1.35886,0.00039115,0.00039115,0.00039115
125,2978.51,1.24481,1.38473,1.38858,0.69788,0.65055,0.6441,0.42892,1.26114,1.11993,1.37198,0.0003862,0.0003862,0.0003862
126,3003.2,1.24133,1.37632,1.38442,0.66747,0.6655,0.64613,0.44039,1.21777,1.08699,1.36098,0.00038125,0.00038125,0.00038125
